nom,description,note,capacity,tel,email,web,rue,code_postal,ville,departement,region,id,enregistrement_audio
Les gîtes de Mélodie - Oloron Sainte Marie,,4.0,119,Non précisé,Non précisé,,,,Non précisée,,,,
Les gites de mélodie - Estialescq,,4.0,118,Non précisé,Non précisé,,,,Non précisée,,,,
Les Gîtes de Couet,,4.0,117,Non précisé,Non précisé,,,,Non précisée,,,,
Domaine de Boisvinet,"Le Domaine de Boisvinet est un centre d'hébergement situé dans un cadre exceptionnel.  Plusieurs gîtes, chambres et dortoirs, capacité totale de 115 c",4.0,115,+33 2 54 89 72 14,hebergement.boisvinet@plessis-dorin.fr,https://www.domainedeboisvinet.fr/bnb/bnb-1-1,4 Route de Oigny; BOISVINET,41170,Le Plessis-Dorin,Loir-et-Cher,Centre-Val de Loire,,
Maison Familiale Rurale,"Au coeur de la Vallée du Loir, à proximité de la forêt domaniale de Bercé, gîte de séjour dans un château totalement rénové du XIXème siècle sur une p",4.0,113,+33 2 43 38 14 00,mfr.verneil-le-chetif@mfr.asso.fr,http://www.mfr-verneil.com/,10 route de Lavernat; Château de Mangé,72360,Verneil-le-Chétif,Sarthe,Pays de la Loire,,
Voilco-Aster Base  1,"Gîte de grande capacité à louer sur les week-ends et possibilité sur des jours de semaines pour anniversaires, mariages, cousinades, réunions de famil",4.0,110,+33 5 55 26 79 33,voilco-aster@wanadoo.fr,https://www.voilco-aster.fr/,10 rue des Mésanges; Etang de Brach,19800,Saint-Priest-de-Gimel,Corrèze,Nouvelle-Aquitaine,,
Peyroux,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9520&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Chaume,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9506&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Vignes,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9515&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Vazais,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9516&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Verdoyer,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9517&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Merlie,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9523&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Fûtier,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9511&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Coquadou,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9508&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Bataudas,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9505&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Betoulles,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9504&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Chataignaux,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9501&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Maillartre,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9522&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Chérauds,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9507&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Mules,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9521&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Loutre,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9514&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Lavenaud,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9513&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Echo,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9509&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Pré Poulou,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9519&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Essarts,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9510&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Gabie,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9512&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Boilerie,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9503&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Quatre Vents,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9518&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Chanceaux,"Situé tout proche de Limoges, le hameau de gîtes du Vieux Poirier compte 23 chalets bois indépendants répartis sur un domaine de 2ha avec une jolie vu",4.0,100,+33 5 55 79 72 63,reservation@gitesdefrance87.fr,https://www.gites-de-france-hautevienne.fr/cgi.php?&OPE=SIRTAQUI&ORI=SIRTAQUI&NUM=87G9502&ACC=G&FICHE=O&INSTANCE=gites87&,rue du Vieux Poirier,87430,Verneuil-sur-Vienne,Haute-Vienne,Nouvelle-Aquitaine,,
Gîte de Groupe isolé à la campagne,"Grand Gîte de Groupe isolé à la campagne. Hébergement pour 100 personnes et salle pour 130 personnes, à 2 heures de Paris et 35 minutes du Mans. Trait",4.0,100,Non précisé,Non précisé,,,,Non précisée,,,,
Le gîte du Pigeonnier,,4.0,99,Non précisé,Non précisé,,,,Non précisée,,,,
Gîte de groupe comprenant 2 salles d,"Trouvez un gîte de groupe comprenant 2 salles de séminaires, mariages...et un hébergement de 93 couchages pour vos événements sur le plateau du Vercor",4.0,93,Non précisé,Non précisé,,,,Non précisée,,,,
GITE DE RECEPTION LE PETIT ETALOIR,"A louer gîte de réception :  Ancienne fermette restaurée sur un terrain de 1000 m2 dont une partie paysagée ,un plan d'eau entièrement clos face à cel",4.0,90,Non précisé,lepetitetaloir@gmail.com,http://www.lepetitetaloir.com/,LE PETIT ETALOIR,72470,Fatines,Sarthe,Pays de la Loire,,
Gîte de groupe Aux Forges de la Rose,"Vous recherchez une location de gîte pour vous ressourcer ou organiser un évènement ? Situé au cœur de la campagne, en bord de Sarthe  vous pourrez sé",4.0,90,+33 6 76 15 96 57,b.paulmyer@solutions-eco.fr,https://www.solutions-pro-tourisme-paysdelaloire.fr/,Le Carrefour,72290,Teillé,Sarthe,Pays de la Loire,,
Les Lapins,Ensemble de bâtiments de ferme rénovés datant du XVIIème siècle comprenant 4 gîtes de séjour au milieu de prairies bordées de haies vives au calme. Po,4.0,86,+33 9 78 35 01 65,Non précisé,https://www.gites-de-france-loiret.com/fr/location/gites-groupe-nevoy-les-lapins-h45g003006,Le Tranchoir - Les Lapins,45500,Nevoy,Loiret,Centre-Val de Loire,,
Gîte de séjour les Lapins,Ensemble de bâtiments de ferme rénovés datant du XVIIè siècle comprenant 4 gîtes de séjour au milieu de prairies bordées de haies vives au calme. Poss,4.0,86,+33 2 38 67 51 98,sarlsouron@gmail.com,https://www.auberge-ferme-du-tranchoir.com/,Ferme du Tranchoir,45500,Nevoy,Loiret,Centre-Val de Loire,,
Gîte de séjour Les Cerfs,Ensemble de bâtiments de ferme rénovés datant du XVIIè s. comprenant 4 gîtes de séjour au milieu de prairies bordées de haies vives au calme. . Possib,4.0,86,+33 2 38 67 51 98,sarlsouron@gmail.com,https://www.auberge-ferme-du-tranchoir.com/,Ferme du Tranchoir,45500,Nevoy,Loiret,Centre-Val de Loire,,
Gîte de séjour les Chevaux,Ensemble de bâtiments de ferme rénovés datant du XVIIè siècle. comprenant 4 gîtes de séjour au milieu de prairies bordées de haies vives au calme. Pos,4.0,86,+33 2 38 67 51 98,sarlsouron@gmail.com,https://www.auberge-ferme-du-tranchoir.com/,Ferme du Tranchoir,45500,Nevoy,Loiret,Centre-Val de Loire,,
LArzacquois,"En Béarn, au cœur d’un village pittoresque aux arcades typiques de la vieille bastide, le Centre d'Accueil change de nom et devient Gîte l'Arzacquois,",4.0,86,+33 5 59 04 41 41,centreaccueil@arzacq.com,https://centredaccueil.arzacq.com/,20 place du Marcadieu,64410,Arzacq-Arraziguet,Pyrénées-Atlantiques,Nouvelle-Aquitaine,,
Domaine des coquelicots,"Bienvenue au Domaine des Coquelicots, Hélène et Erick vous accueillent en gîte de groupe pour vos événements (mariages, séminaires, anniversaires, cou",4.0,83,+33 6 26 01 89 09,gite.domaine.des.coquelicots@gmail.com,https://www.domaine-des-coquelicots.com/,1543 route des fours à chaux; Merle,24170,Cladech,Dordogne,Nouvelle-Aquitaine,,
Gîte de groupe pour vos événements,"Bienvenue au Domaine des Coquelicots, Hélène et Erick vous accueillent en gîte de groupe pour vos événements (mariages, séminaires, anniversaires, cou",4.0,83,Non précisé,Non précisé,,,,Non précisée,,,,
La Noë éco gîte,,4.0,82,Non précisé,Non précisé,,,,Non précisée,,,,
Gîte Le Vancellois,"A 500 m d'altitude, sur le flan sud du massif de l'Altenberg face au château du Haut-Koenigsbourg et proche des ruines du Frankenbourg.  Le centre vou",4.0,80,+33 6 83 82 39 48,Non précisé,http://www.gite-vancellois.fr/,Place René Andlauer,67730,La Vancelle,Bas-Rhin,Grand Est,,
Gite de Maynal,Ce gîte communal est situé dans le joli village vigneron de Maynal au cœur des vignoble du Sud Revermont.   Vous bénéficiez  à proximité d'activités c,4.0,80,+33 6 88 90 12 00,m.boularess@bfctourisme.com,https://www.bourgognefranchecomte.com/,2 Rue des Frênes,39190,Maynal,Jura,Bourgogne-Franche-Comté,,
Village de gîtes Les Jardins de l'Etang,"Intégré dans un complexe touristique d'environ 70 lits, s'étendant sur 18 ha et comprenant un espace nautique ludique, un étang de pêche, un terrain d",4.0,80,+33 3 84 68 41 05,lesjardinsdeletang70@gmail.com,https://www.bourgognefranchecomte.com/,,70130,Noidans-le-Ferroux,Haute-Saône,Bourgogne-Franche-Comté,,
Gîtes de France® - Le Clos de la Beauce,"Dans un bâtiment de caractère, en briques et silex, gîte de groupe à la décoration moderne et soignée. Cadre boisé et bucolique dans un village de cha",4.0,80,+33 6 83 52 26 41,stephane@leclosdelabeauce.fr,https://leclosdelabeauce.com/,384 côte de la Beauce,76690,Clères,Seine-Maritime,Normandie,,
